Event Title,Event Body,Event Date,Event Start Time,Event End Time,Header Skin,Header Sub Title,Listing Option Address,Listing Visibility Duration,Listing Featured,Listing Email,Listing Mobile,Listing Website URL,Facebook,Twitter,Instagram,Youtube,Related Posts,Listing Button Text,Listing Button URL,Background Image,Location,Latitude,Longitude,Calendar Tags,Categories,Featured Image,Gallery Image,Min Height Hero Image,Disable Hero Image,Region,Alt Tag,Start Time format,End Time format,Qualification,event_custom_id
Long Road Sixth Form College,"Experience an open day at Long Road Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-17,1532451600,1532462400,transparent,open evening,Long Road  Cambridge CB2 8PX,364,off,enquiries@longroad.ac.uk,+44 1223 507 400,http://www.longroad.ac.uk,,,,,on,17 Oct - Booking Info,https://www.longroad.ac.uk/student-life/prospective-students/open-evenings-for-year-11/,3135,Cambridgeshire,52.1795923,0.1310391,October,Sixth Form College,university75.jpg,,200,off,Eastern England,Long Road Sixth Form College - open evening,2018-10-17 17:00:00:00.000000,2018-10-17 20:00:00:00.000000,A Levels,11
Long Road Sixth Form College,"Experience an open day at Long Road Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-18,1532451600,1532462400,transparent,open evening,Long Road  Cambridge CB2 8PX,364,off,enquiries@longroad.ac.uk,+44 1223 507 400,http://www.longroad.ac.uk,,,,,on,18 Oct - Booking Info,https://www.longroad.ac.uk/student-life/prospective-students/open-evenings-for-year-11/,3136,Cambridgeshire,52.1795923,0.1310391,October,Sixth Form College,university76.jpg,,200,off,Eastern England,Long Road Sixth Form College - open evening,2018-10-18 17:00:00:00.000000,2018-10-18 20:00:00:00.000000,A Levels,12
St David's Catholic Sixth Form College,"Experience an open day at St David's Catholic Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!      *Note we are unable to confirm start time or finish time of this listing.",2018-11-14,1532390400,1532476740,transparent,Open Evening,Ty Gwyn Road  Penylan CF23 5QD,364,off,enquiries@stdavidscollege.ac.uk,+44 2920 468555,http://www.st-davids-coll.ac.uk,,,,,on,14 Nov - Booking Info,https://www.stdavidscollege.ac.uk/open-evenings-and-events/,3137,Cardiff,51.5027471,-3.165055,November,Sixth Form College,university77.jpg,,200,off,Wales,St David's Catholic Sixth Form College - Open Evening,2018-11-14 0:00:00:00.000000,2018-11-14 23:59:00:00.000000,A Levels,13
St David's Catholic Sixth Form College,"Experience an open day at St David's Catholic Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!      *Note we are unable to confirm start time or finish time of this listing.",2018-11-21,1532390400,1532476740,transparent,Open Evening,Ty Gwyn Road  Penylan CF23 5QD,364,off,enquiries@stdavidscollege.ac.uk,+44 2920 468555,http://www.st-davids-coll.ac.uk,,,,,on,21 Nov - Booking Info,https://www.stdavidscollege.ac.uk/open-evenings-and-events/,3138,Cardiff,51.5027471,-3.165055,November,Sixth Form College,university78.jpg,,200,off,Wales,St David's Catholic Sixth Form College - Open Evening,2018-11-21 0:00:00:00.000000,2018-11-21 23:59:00:00.000000,A Levels,14
Sir John Deane's College,"Experience an open day at Sir John Deane's College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-04,1532453400,1532464200,transparent,Open Evening,Monarch Drive  Northwich CW9 8AF,364,off,admin@sjd.ac.uk,+44 1606 810020,http://www.sjd.ac.uk,,,,,on,4 Oct - Booking Info,http://www.sjd.ac.uk/event/open-evening/,3139,Cheshire West,53.2473355,-2.5195718,October,Sixth Form College,university79.jpg,,200,off,North West England,Sir John Deane's College - Open Evening,2018-10-04 17:30:00:00.000000,2018-10-04 20:30:00:00.000000,A Levels,15
Sir John Deane's College,"Experience an open day at Sir John Deane's College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-24,1532453400,1532464200,transparent,Open Evening,Monarch Drive  Northwich CW9 8AF,364,off,admin@sjd.ac.uk,+44 1606 810020,http://www.sjd.ac.uk,,,,,on,24 Oct - Booking Info,http://www.sjd.ac.uk/event/open-evening/,3140,Cheshire West,53.2473355,-2.5195718,October,Sixth Form College,university80.jpg,,200,off,North West England,Sir John Deane's College - Open Evening,2018-10-24 17:30:00:00.000000,2018-10-24 20:30:00:00.000000,A Levels,16
Sir John Deane's College,"Experience an open day at Sir John Deane's College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!      *Note we are unable to confirm start time or finish time of this listing.",2018-11-17,1532390400,1532476740,transparent,Open Morning,Monarch Drive  Northwich CW9 8AF,364,off,admin@sjd.ac.uk,+44 1606 810020,http://www.sjd.ac.uk,,,,,on,17 Nov - Booking Info,http://www.sjd.ac.uk/event/open-morning/,3141,Cheshire West,53.2473355,-2.5195718,November,Sixth Form College,university81.jpg,,200,off,North West England,Sir John Deane's College - Open Morning,2018-11-17 0:00:00:00.000000,2018-11-17 23:59:00:00.000000,A Levels,17
Callywith College,"Experience an open day at Callywith College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-11-24,1532426400,1532444400,transparent,Open Day,Old Callywith Road  Bodmin PL31 2GT,364,off,enquiry@callywith.ac.uk,+44 1208 224000,https://www.callywith.ac.uk,,,,,on,24 Nov - Booking Info,https://www.callywith.ac.uk/open-events,3142,Cornwall,50.4778617,-4.7052583,November,Sixth Form College,university82.jpg,,200,off,South West England,Callywith College - Open Day,2018-11-24 10:00:00:00.000000,2018-11-24 15:00:00:00.000000,A Levels,18
Callywith College,"Experience an open day at Callywith College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2019-02-07,1532451600,1532462400,transparent,Open Evening,Old Callywith Road  Bodmin PL31 2GT,364,off,enquiry@callywith.ac.uk,+44 1208 224000,https://www.callywith.ac.uk,,,,,on,7 Feb - Booking Info,https://www.callywith.ac.uk/open-events,3143,Cornwall,50.4778617,-4.7052583,February,Sixth Form College,university84.jpg,,200,off,South West England,Callywith College - Open Evening,2019-02-07 17:00:00:00.000000,2019-02-07 20:00:00:00.000000,A Levels,19
Callywith College,"Experience an open day at Callywith College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2019-03-09,1532426400,1532451600,transparent,Open Morning,Old Callywith Road  Bodmin PL31 2GT,364,off,enquiry@callywith.ac.uk,+44 1208 224000,https://www.callywith.ac.uk,,,,,on,9 Mar - Booking Info,https://www.callywith.ac.uk/open-events,3144,Cornwall,50.4778617,-4.7052583,March,Sixth Form College,university85.jpg,,200,off,South West England,Callywith College - Open Morning,2019-03-09 10:00:00:00.000000,2019-03-09 17:00:00:00.000000,A Levels,20
Callywith College,"Experience an open day at Callywith College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2019-05-09,1532451600,1532462400,transparent,Open Evening,Old Callywith Road  Bodmin PL31 2GT,364,off,enquiry@callywith.ac.uk,+44 1208 224000,https://www.callywith.ac.uk,,,,,on,9 May - Booking Info,https://www.callywith.ac.uk/open-events,3145,Cornwall,50.4778617,-4.7052583,May,Sixth Form College,university86.jpg,,200,off,South West England,Callywith College - Open Evening,2019-05-09 17:00:00:00.000000,2019-05-09 20:00:00:00.000000,A Levels,21
Barton Peveril Sixth Form College,"Experience an open day at Barton Peveril Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-03,1532453400,1532464200,transparent,Open Evening,Chestnut Avenue  Eastleigh SO50 5ZA,364,off,enquiries@barton.ac.uk,+44 23 80367200,http://www.barton-peveril.ac.uk,,,,,on,3 Oct - Booking Info,https://www.barton-peveril.ac.uk/openevening/?hilite=%27open%27%2C%27day%27,3146,Hampshire,50.9612666,-1.371639,October,Sixth Form College,university87.jpg,,200,off,South East England,Barton Peveril Sixth Form College - Open Evening,2018-10-03 17:30:00:00.000000,2018-10-03 20:30:00:00.000000,A Levels,22
Barton Peveril Sixth Form College,"Experience an open day at Barton Peveril Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-04,1532453400,1532464200,transparent,Open Evening,Chestnut Avenue  Eastleigh SO50 5ZA,364,off,enquiries@barton.ac.uk,+44 23 80367200,http://www.barton-peveril.ac.uk,,,,,on,4 Oct - Booking Info,https://www.barton-peveril.ac.uk/openevening/?hilite=%27open%27%2C%27day%27,3147,Hampshire,50.9612666,-1.371639,October,Sixth Form College,university89.jpg,,200,off,South East England,Barton Peveril Sixth Form College - Open Evening,2018-10-04 17:30:00:00.000000,2018-10-04 20:30:00:00.000000,A Levels,23
Havant College,"Experience an open day at Havant College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-11-10,1532426400,1532437200,transparent,HAVANT & SOUTH DOWNS CAMPUSES OPEN MORNING,New Road  Havant PO9 1QL,364,off,enquiries@havant.ac.uk,+44 23 9248 3856,http://www.havant.ac.uk,,,,,on,10 Nov - Booking Info,https://www.hsdc.ac.uk/events/hsdc-open-morning/,3148,Hampshire,50.8566198,-0.9875537,November,Sixth Form College,university90.jpg,,200,off,South East England,Havant College - HAVANT & SOUTH DOWNS CAMPUSES OPEN MORNING,2018-11-10 10:00:00:00.000000,2018-11-10 13:00:00:00.000000,A Levels,24
Havant College,"Experience an open day at Havant College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-11,1532451600,1532462400,transparent,SOUTH DOWNS CAMPUS OPEN EVENING,New Road  Havant PO9 1QL,364,off,enquiries@havant.ac.uk,+44 23 9248 3856,http://www.havant.ac.uk,,,,,on,11 Oct - Booking Info,https://www.hsdc.ac.uk/events/south-downs-campus-open-evening/,3149,Hampshire,50.8566198,-0.9875537,October,Sixth Form College,university91.jpg,,200,off,South East England,Havant College - SOUTH DOWNS CAMPUS OPEN EVENING,2018-10-11 17:00:00:00.000000,2018-10-11 20:00:00:00.000000,A Levels,25
Havant College,"Experience an open day at Havant College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-17,1532451600,1532462400,transparent,HAVANT CAMPUS OPEN EVENING,New Road  Havant PO9 1QL,364,off,enquiries@havant.ac.uk,+44 23 9248 3856,http://www.havant.ac.uk,,,,,on,17 Oct - Booking Info,https://www.hsdc.ac.uk/events/havant-campus-open-evening/,3150,Hampshire,50.8566198,-0.9875537,October,Sixth Form College,university92.jpg,,200,off,South East England,Havant College - HAVANT CAMPUS OPEN EVENING,2018-10-17 17:00:00:00.000000,2018-10-17 20:00:00:00.000000,A Levels,26
Queen Mary's College,"Experience an open day at Queen Mary's College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-03,1532453400,1532464200,transparent,Open Evening,Cliddesden Road  Basingstoke RG21 3HF,364,off,info@qmc.ac.uk,+44 1256 417500,https://www.qmc.ac.uk,,,,,on,3 Oct - Booking Info,https://www.qmc.ac.uk/events/03102018/open-evening-october,3151,Hampshire,51.2589414,-1.0847826,October,Sixth Form College,university93.jpg,,200,off,South East England,Queen Mary's College - Open Evening,2018-10-03 17:30:00:00.000000,2018-10-03 20:30:00:00.000000,A Levels,27
Queen Mary's College,"Experience an open day at Queen Mary's College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-11-08,1532453400,1532464200,transparent,Open Evening,Cliddesden Road  Basingstoke RG21 3HF,364,off,info@qmc.ac.uk,+44 1256 417500,https://www.qmc.ac.uk,,,,,on,8 Nov - Booking Info,https://www.qmc.ac.uk/events/08112018/open-evening-november,3152,Hampshire,51.2589414,-1.0847826,November,Sixth Form College,university94.jpg,,200,off,South East England,Queen Mary's College - Open Evening,2018-11-08 17:30:00:00.000000,2018-11-08 20:30:00:00.000000,A Levels,28
The Sixth Form College Farnborough,"Experience an open day at The Sixth Form College Farnborough, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-17,1532446200,1532466000,transparent,Open Evening,Prospect Avenue  Farnborough GU14 8JX,364,off,admin@farnborough.ac.uk,+44 1252 688200,https://farnborough.ac.uk,,,,,on,17 Oct - Booking Info,https://farnborough.ac.uk/calendar/show/6273,3153,Hampshire,51.3043929,-0.7568238,October,Sixth Form College,university96.jpg,,200,off,South East England,The Sixth Form College Farnborough - Open Evening,2018-10-17 15:30:00:00.000000,2018-10-17 21:00:00:00.000000,A Levels,29
The Sixth Form College Farnborough,"Experience an open day at The Sixth Form College Farnborough, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-18,1532446200,1532466000,transparent,Open Evening,Prospect Avenue  Farnborough GU14 8JX,364,off,admin@farnborough.ac.uk,+44 1252 688200,https://farnborough.ac.uk,,,,,on,18 Oct - Booking Info,https://farnborough.ac.uk/calendar/show/6274,3154,Hampshire,51.3043929,-0.7568238,October,Sixth Form College,university97.jpg,,200,off,South East England,The Sixth Form College Farnborough - Open Evening,2018-10-18 15:30:00:00.000000,2018-10-18 21:00:00:00.000000,A Levels,30
St Dominic's Sixth Form College,"Experience an open day at St Dominic's Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-06,1532424600,1532444400,transparent,Open Evening ,Mount Park Avenue  Harrow-on-the-Hill HA1 3HX,364,off,stdoms@stdoms.ac.uk,+44 20 8422 8084,http://www.stdoms.ac.uk,,,,,on,6 Oct - Booking Info,http://www.stdoms.ac.uk/news/?pid=3&nid=1&storyid=89,3155,London,51.5667122,-0.3413072,October,Sixth Form College,university98.jpg,,200,off,London,St Dominic's Sixth Form College - Open Evening ,2018-10-06 9:30:00:00.000000,2018-10-06 15:00:00:00.000000,A Levels,31
Havering Sixth Form College,"Experience an open day at Havering Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-11-17,1532424600,1532446200,transparent,Open Evening,Wingletye Lane  Hornchurch RM11 3TB,364,off,mainoffice@havering-sfc.ac.uk,+44 1708 514400,http://www.havering-sfc.ac.uk,,,,,on,17 Nov - Booking Info,"https://www.havering-sfc.ac.uk/calendar/?calid=1,2,3,5&pid=71&viewid=1&event=81",3042,London,51.5724442,0.2370917,November,Sixth Form College,university201.jpg,,200,off,London,Havering Sixth Form College - Open Evening,2018-11-17 9:30:00:00.000000,2018-11-17 15:30:00:00.000000,A Levels,32
Hereford Sixth Form College,"Experience an open day at Wyke Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!      *Note we are unable to confirm start time or finish time of this listing.",2018-10-24,1532390400,1532476740,transparent,Open Evening ,Folly Lane  Hereford HR1 1LU,364,off,sixth-form@hereford.ac.uk,+44 1432 355166,http://www.hereford.ac.uk,,,,,on,24 Oct - Booking Info,http://www.hereford.ac.uk,3043,Herefordshire,52.0600493,-2.6969288,October,Sixth Form College,university202.jpg,,200,off,West Midlands,Hereford Sixth Form College - Open Evening ,2018-10-24 0:00:00:00.000000,2018-10-24 23:59:00:00.000000,A Levels,33
